stop_id,stop_name,stop_lat,stop_lon,stop_desc
1718238356,RN25: Vinto-Cruce a Morochata,-17.3632379,-66.3630174,1(110)
9444077589,RN25: Vinto-Cruce a Morochata,-17.3622157,-66.365093,1(110)
1717766718,RN25: Vinto-Cruce a Morochata,-17.3633609,-66.3651986,1(110)
1717766754,RN25: Vinto-Cruce a Morochata,-17.363856000000002,-66.36555030000001,1(110)
9444077518,RN25: Vinto-Cruce a Morochata,-17.3625997,-66.3657223,1(110)
1717766750,RN25: Vinto-Cruce a Morochata,-17.3637942,-66.3661362,1(110)
9444077526,RN25: Vinto-Cruce a Morochata,-17.3625511,-66.3663305,1(110)
1717766756,RN25: Vinto-Cruce a Morochata,-17.3639359,-66.36699320000001,1(110)
1717766671,RN25: Vinto-Cruce a Morochata,-17.3624864,-66.3670677,1(110)
1717766642,RN25: Vinto-Cruce a Morochata,-17.3590611,-66.36810510000001,1(110)
7060823567,RN25: Vinto-Cruce a Morochata,-17.358530700000003,-66.3684532,1(110)
1717766612,RN25: Vinto-Cruce a Morochata,-17.358350100000003,-66.36902110000001,1(110)
9444077543,RN25: Vinto-Cruce a Morochata,-17.358064600000002,-66.3698868,1(110)
1717766550,RN25: Vinto-Cruce a Morochata,-17.3575595,-66.36961430000001,1(110)
9444077550,RN25: Vinto-Cruce a Morochata,-17.3569926,-66.37093080000001,1(110)
1717766559,RN25: Vinto-Cruce a Morochata,-17.357656700000003,-66.37083670000001,1(110)
1717766533,RN25: Vinto-Cruce a Morochata,-17.3572229,-66.3713931,1(110)
1717766579,RN25: Vinto-Cruce a Morochata,-17.357871300000003,-66.3712668,1(110)
1717766589,RN25: Vinto-Cruce a Morochata,-17.3580194,-66.3714558,1(110)
1717766544,RN25: Vinto-Cruce a Morochata,-17.3575337,-66.3721692,1(110)
9049017580,RN25: Vinto-Cruce a Morochata,-17.357275700000002,-66.37370320000001,1(110)
1717766506,RN25: Vinto-Cruce a Morochata,-17.356824200000002,-66.37398870000001,1(110)
1717766443,RN25: Vinto-Cruce a Morochata,-17.3540114,-66.37436670000001,1(110)
9444077579,RN25: Vinto-Cruce a Morochata,-17.3533595,-66.37483780000001,1(110)
9444077582,RN25: Vinto-Cruce a Morochata,-17.354726900000003,-66.3751553,1(110)
9444077585,RN25: Vinto-Cruce a Morochata,-17.3541355,-66.3752881,1(110)
1717766404,RN25: Vinto-Cruce a Morochata,-17.3529273,-66.376553,1(110)
9435739191,RN25: Vinto-Cruce a Morochata,-17.352307600000003,-66.376664,1(110)
1717766448,RN25: Vinto-Cruce a Morochata,-17.354184200000002,-66.37703280000001,1(110)
9435782564,RN25: Vinto-Cruce a Morochata,-17.354561800000003,-66.3770147,1(110)
1717766391,RN25: Vinto-Cruce a Morochata,-17.352465000000002,-66.3779676,1(110)
9435739196,RN25: Vinto-Cruce a Morochata,-17.352057300000002,-66.37835790000001,1(110)
9435739202,RN25: Vinto-Cruce a Morochata,-17.352194,-66.3789557,1(110)
9435739205,RN25: Vinto-Cruce a Morochata,-17.352353,-66.3789144,1(110)
1717766454,RN25: Vinto-Cruce a Morochata,-17.3543963,-66.37865430000001,1(110)
9435739210,RN25: Vinto-Cruce a Morochata,-17.3548754,-66.3785952,1(110)
1717766505,RN25: Vinto-Cruce a Morochata,-17.3567557,-66.3788981,1(110)
1717766493,RN25: Vinto-Cruce a Morochata,-17.3562143,-66.37932210000001,1(110)
9435745419,RN25: Vinto-Cruce a Morochata,-17.3531601,-66.3805801,1(110)
9435745421,RN25: Vinto-Cruce a Morochata,-17.352890000000002,-66.3811802,1(110)
9435745426,RN25: Vinto-Cruce a Morochata,-17.3516714,-66.38191180000001,1(110)
1717766361,RN25: Vinto-Cruce a Morochata,-17.351254100000002,-66.3818863,1(110)
1717766346,RN25: Vinto-Cruce a Morochata,-17.349154700000003,-66.3832648,1(110)
9435745430,RN25: Vinto-Cruce a Morochata,-17.3489781,-66.383212,1(110)
1717766320,RN25: Vinto-Cruce a Morochata,-17.3465792,-66.3828251,1(110)
1717766313,RN25: Vinto-Cruce a Morochata,-17.3464311,-66.3829841,1(110)
1717766283,RN25: Vinto-Cruce a Morochata,-17.3455742,-66.38376050000001,1(110)
1717766284,RN25: Vinto-Cruce a Morochata,-17.3456715,-66.3837994,1(110)
1717766325,RN25: Vinto-Cruce a Morochata,-17.346769300000002,-66.38451760000001,1(110)
1717766332,RN25: Vinto-Cruce a Morochata,-17.347102800000002,-66.38471650000001,1(110)
1717766276,RN25: Vinto-Cruce a Morochata,-17.3443295,-66.3858422,1(110)
1718238546,RN25: Vinto-Cruce a Morochata,-17.3824393,-66.34286060000001,1(110)
1718238623,RN25: Vinto-Morochata,-17.3873105,-66.3366201,1(110)
1718238679,RN25: Vinto-Morochata,-17.3952606,-66.3285615,1(110)
1722885542,Innominada,-17.3984756,-66.3285316,1(110)
7734947312,Innominada,-17.3980065,-66.3297479,1(110)
1722885493,Innominada,-17.3963374,-66.33428640000001,1(110)
6991152369,Innominada,-17.3947442,-66.33751570000001,1(110)
1722885448,Innominada,-17.3915733,-66.3409426,1(110)
1722885415,Innominada,-17.389297000000003,-66.34250800000001,1(110)
6991159514,Innominada,-17.3867796,-66.3440394,1(110)
1722885375,Innominada,-17.383087900000003,-66.3467837,1(110)
3821231421,Innominada,-17.3807252,-66.34983890000001,1(110)
9049017534,Innominada,-17.382577100000002,-66.34737310000001,1(110)
5567763807,Avenida Víctor Paz Estenssoro,-17.4064133,-66.14854740000001,2(103-8)
702511898,Calle Ayllu y Calle Tomasa Tito Condemayta,-17.4054483,-66.14756790000001,2(103-8)
1723606802,Calle Avaroa,-17.3936107,-66.30800780000001,1(8)
1723606508,Calle Avaroa,-17.393213900000003,-66.3081204,1(8)
1723606778,Calle Avaroa,-17.3908987,-66.308012,1(8)
1723140776,Calle Avaroa,-17.383666100000003,-66.30794080000001,1(8)
786662048,Avenida Elías Meneses,-17.389507000000002,-66.2507599,2(132-77)
786662069,Avenida Elías Meneses,-17.388958900000002,-66.2507334,2(132-77)
11071989481,Avenida Elías Meneses,-17.3876843,-66.25071200000001,2(132-77)
10687066445,Avenida Elías Meneses,-17.3849813,-66.2508595,2(132-77)
783869261,Avenida Elías Meneses,-17.382246000000002,-66.25128310000001,2(132-77)
4079416455,Avenida Elías Meneses,-17.3815025,-66.25142290000001,2(132-77)
785868913,Avenida Elías Meneses,-17.3782241,-66.2517512,2(132-77)
783870558,Avenida Elías Meneses,-17.3767834,-66.25190450000001,2(132-77)
11071737579,Avenida Elías Meneses,-17.3700075,-66.25247780000001,2(132-77)
7547824872,Avenida Elías Meneses,-17.365995400000003,-66.25266180000001,2(132-77)
5664797050,Avenida Elías Meneses,-17.364280100000002,-66.25271000000001,2(132-77)
785461560,Avenida Elías Meneses,-17.3608154,-66.2531342,2(132-77)
783871205,Avenida Elías Meneses,-17.3584269,-66.25371390000001,2(132-77)
783869519,Avenida Elías Meneses,-17.356280400000003,-66.25429980000001,2(132-77)
11070031837,Avenida Elías Meneses,-17.355879,-66.254468,2(132-77)
783870476,Avenida Elías Meneses,-17.3555336,-66.25459260000001,2(132-77)
783920894,Avenida Elías Meneses,-17.3533201,-66.2549901,2(132-77)
13712601625,Avenida Elías Meneses,-17.3517398,-66.2558815,2(132-77)
783920880,Avenida Elías Meneses,-17.349886700000003,-66.2569316,2(132-77)
13712601628,Avenida Elías Meneses,-17.3477098,-66.2581028,2(132-77)
785869425,Avenida Elías Meneses,-17.341184000000002,-66.26170880000001,2(132-77)
783869689,Calle Cochabamba y Calle Doctor Eduardo Chavez,-17.338631900000003,-66.2638447,2(132-77)
783869724,Avenida Cochabamba,-17.3376902,-66.26761760000001,1(77)
782026351,Calle Francisco Anaya,-17.375556300000003,-66.2973451,1(2)
783869679,Calle Cochabamba,-17.338571100000003,-66.2676203,1(77)
783869276,Calle Cochabamba,-17.338569200000002,-66.2659569,2(132-77)
7245348094,Avenida Elías Meneses,-17.3849854,-66.25093840000001,2(132-77)
3322575820,Calle Ayllu,-17.4025123,-66.14872480000001,1(8)
2240937625,Avenida Víctor Paz Estenssoro,-17.4062963,-66.14854790000001,1(8)
5866174142,Calle Jacaranda y Calle Constantino Morales,-17.382510500000002,-66.2850294,2(111-8)
8623670583,Calle Jacaranda,-17.382511400000002,-66.285126,2(111-8)
9518416357,Innominada,-17.3825812,-66.2857422,2(111-8)
5866174139,Puente Río Tacata,-17.382481700000003,-66.2860035,2(111-8)
783870053,Innominada,-17.3823675,-66.2861127,2(111-8)
783870249,Innominada,-17.382126500000002,-66.28713590000001,1(8)
5866174787,Innominada,-17.381569000000002,-66.28782480000001,1(8)
783869093,Innominada,-17.3794103,-66.2875947,1(8)
783870598,Innominada,-17.378726200000003,-66.2878168,1(8)
783870163,Innominada,-17.376965100000003,-66.28989630000001,1(8)
780226681,Innominada,-17.373471600000002,-66.29003820000001,1(8)
780226824,Innominada,-17.373005600000003,-66.29014020000001,1(8)
780227712,Innominada,-17.372847,-66.2902055,1(8)
780227089,Innominada,-17.367624900000003,-66.2916459,1(8)
780227400,Innominada,-17.3640246,-66.2937014,1(8)
780227687,Innominada,-17.3636616,-66.29734160000001,1(8)
780227447,Innominada,-17.3643691,-66.29853600000001,1(8)
7245436027,Innominada,-17.3662242,-66.2982106,1(8)
782027903,Innominada,-17.3688162,-66.2996006,1(8)
309139580,Innominada,-17.383583100000003,-66.28440400000001,1(8)
1723140825,Calle Anocaraire,-17.3736725,-66.3242587,1(8)
1723606616,Calle Anocaraire,-17.370140900000003,-66.32960200000001,1(8)
1723606612,Calle Anocaraire,-17.370140900000003,-66.3297522,1(8)
1723606506,Calle Anocaraire,-17.369326800000003,-66.3352239,1(8)
1723606605,Calle Anocaraire,-17.3693449,-66.3358187,1(8)
4188000229,Innominada,-17.3683131,-66.3374204,1(8)
8797027526,Innominada,-17.3676412,-66.3388699,1(8)
4188000234,Innominada,-17.365147,-66.3396429,1(8)
8627336281,Innominada,-17.3607812,-66.3408129,1(8)
4187999642,Innominada,-17.359432100000003,-66.3411573,1(8)
4604544602,Innominada,-17.3574164,-66.34279310000001,1(8)
11071521045,Avenida Santa Cruz,-17.3422343,-66.2857061,2(111-8)
4573876034,Avenida Santa Cruz,-17.3397225,-66.28504720000001,2(111-8)
782027145,Avenida Santa Cruz,-17.3374753,-66.2844554,2(111-8)
11268525947,Avenida Santa Cruz,-17.335954,-66.28407650000001,2(111-8)
5854784237,Avenida Santa Cruz,-17.3349726,-66.283832,2(111-8)
8943098175,Avenida Santa Cruz,-17.333851000000003,-66.2835385,2(111-8)
4573876551,Avenida Santa Cruz,-17.3324678,-66.28318900000001,2(111-8)
9343618662,Avenida Santa Cruz,-17.3299646,-66.28278710000001,2(111-8)
6167540804,Innominada,-17.4081139,-66.3317074,2(1-119)
6167540805,Innominada,-17.4081541,-66.3317628,2(1-119)
1723764301,Innominada,-17.406652700000002,-66.3411456,1(119)
1723764468,Innominada,-17.4078336,-66.3481091,1(119)
5470212695,Innominada,-17.4088911,-66.35307680000001,1(119)
6988592307,Innominada,-17.411218,-66.3647447,1(119)
6988578638,Innominada,-17.4125793,-66.3758701,1(119)
5307715736,Innominada,-17.412438700000003,-66.3662405,1(119)
5080511682,Innominada,-17.4143496,-66.3641812,1(119)
5080511694,Innominada,-17.4149721,-66.3624515,1(119)
5080511705,Innominada,-17.414528400000002,-66.36074830000001,1(119)
1725727688,Innominada,-17.415059000000003,-66.35603710000001,1(119)
3804474258,Innominada,-17.4193672,-66.3475702,1(119)
3804474289,Innominada,-17.4205109,-66.3438974,1(119)
3804474302,Innominada,-17.421079600000002,-66.3358,1(119)
6113975689,Innominada,-17.419784500000002,-66.3328273,1(119)
6113975715,Rotonda Vinto Chico,-17.419565300000002,-66.332392,1(119)
6113975717,Rotonda Vinto Chico,-17.4194542,-66.3324017,1(119)
6166748802,Rotonda Vinto Chico,-17.419631300000002,-66.33277140000001,1(119)
1722951311,Innominada,-17.4276008,-66.3392396,2(1-119)
3804474495,Innominada,-17.430030600000002,-66.3414104,2(1-119)
3804474500,Innominada,-17.430524600000002,-66.3418226,2(1-119)
3804474538,Innominada,-17.432850400000003,-66.3201145,2(1-119)
3804474535,Innominada,-17.4328445,-66.3195798,2(1-119)
3804474570,Innominada,-17.433424900000002,-66.3168397,2(1-119)
3804474565,Innominada,-17.4333843,-66.31314060000001,2(1-119)
3804474556,Innominada,-17.4331807,-66.3126934,2(1-119)
3804474561,Innominada,-17.4332578,-66.31098320000001,2(1-119)
5165744508,Innominada,-17.433339800000002,-66.3109151,2(1-119)
3804474580,Innominada,-17.434181900000002,-66.3109146,2(1-119)
3804474605,Innominada,-17.435101600000003,-66.3109785,2(1-119)
3804474627,Innominada,-17.437116500000002,-66.31069310000001,2(1-119)
3804474631,Innominada,-17.4375092,-66.31037930000001,2(1-119)
3804474639,Innominada,-17.4379382,-66.30951540000001,2(1-119)
3804474645,Innominada,-17.438361500000003,-66.3093448,2(1-119)
3804474675,Innominada,-17.440384100000003,-66.3096818,2(1-119)
3804474700,Innominada,-17.4409294,-66.3099164,2(1-119)
3804474707,Innominada,-17.4411533,-66.3099121,2(1-119)
3804474722,Camino Quillacollo-Suticollo,-17.441393400000003,-66.30958360000001,2(1-119)
3804474744,Camino Quillacollo-Suticollo,-17.44283,-66.3094343,2(1-119)
3804474747,Camino Quillacollo-Suticollo,-17.4432735,-66.3094343,2(1-119)
3804474758,Camino Quillacollo-Suticollo,-17.444376400000003,-66.3099121,2(1-119)
3804474799,Camino Quillacollo-Suticollo,-17.4464581,-66.311345,2(1-119)
3804474815,Camino Quillacollo-Suticollo,-17.447060500000003,-66.31139990000001,2(1-119)
3804474829,Camino Quillacollo-Suticollo,-17.4481651,-66.3116952,2(1-119)
3804474840,Camino Quillacollo-Suticollo,-17.4494633,-66.3117507,2(1-119)
5611687272,Camino Quillacollo-Suticollo,-17.452862300000003,-66.31149260000001,2(1-119)
5611687271,Camino Quillacollo-Suticollo,-17.454513000000002,-66.3114817,2(1-119)
5611687269,Camino Quillacollo-Suticollo,-17.4556502,-66.3119916,2(1-119)
3804474923,Camino Quillacollo-Suticollo,-17.4562022,-66.3122967,2(1-119)
3804474973,Camino Quillacollo-Suticollo,-17.462280800000002,-66.3152673,1(119)
1744586733,Innominada,-17.442382100000003,-66.33862,2(1-119)
1744586628,Innominada,-17.442269600000003,-66.339151,2(1-119)
1744586638,Innominada,-17.4419116,-66.3410111,2(1-119)
1744586736,Innominada,-17.4421006,-66.342493,2(1-119)
1744586765,Innominada,-17.441563300000002,-66.3472862,2(1-119)
1497972772,Innominada,-17.4405894,-66.34717810000001,2(1-119)
7058952754,Innominada,-17.4399562,-66.3515785,2(1-119)
1497976809,Innominada,-17.4397492,-66.352534,2(1-119)
1497976348,Innominada,-17.438558800000003,-66.35477200000001,2(1-119)
1497976273,Innominada,-17.438443600000003,-66.3561882,2(1-119)
3094083527,Innominada,-17.4384061,-66.36019200000001,2(1-119)
1497976336,Innominada,-17.437416300000002,-66.36051420000001,2(1-119)
1497976632,Innominada,-17.435177900000003,-66.3609443,2(1-119)
3821246896,Innominada,-17.433031500000002,-66.3618371,2(1-119)
1497976765,Innominada,-17.431183800000003,-66.3633176,2(1-119)
1497976699,Innominada,-17.431127500000002,-66.3636019,2(1-119)
1497976718,Innominada,-17.431127,-66.3638907,2(1-119)
1497976446,Innominada,-17.431255,-66.36587560000001,2(1-119)
1497976709,Innominada,-17.4306203,-66.3688367,2(1-119)
1497976337,Innominada,-17.4306157,-66.3690253,2(1-119)
1497976388,Innominada,-17.4306613,-66.3692659,2(1-119)
7808899734,Innominada,-17.430145900000003,-66.3706982,2(1-119)
1497976247,Innominada,-17.429265400000002,-66.37241,2(1-119)
1497976493,Innominada,-17.4284196,-66.3739159,2(1-119)
1497976328,Innominada,-17.425743200000003,-66.3782736,2(1-119)
1497976377,Innominada,-17.4245376,-66.37887470000001,2(1-119)
1497976810,Innominada,-17.4240542,-66.3790407,2(1-119)
1497976761,Innominada,-17.4215616,-66.3795771,2(1-119)
1497976276,Innominada,-17.420496500000002,-66.3799518,2(1-119)
1497976445,Innominada,-17.4203332,-66.3800384,2(1-119)
1497976442,Innominada,-17.419872,-66.38068670000001,2(1-119)
